name,constituency_id
Daniel Ofoe Kudonu,94
Davis Ansah Opoku,122
Muhayadeen Adam Kaleem,122
Adjei Kwasi Boateng,98
Asante Emmanuel Kwaku,98
Antwi Eric Gyapong,98
Brobbey Dorcas,98
Bryan Acheampong,123
Asamoah Samuel,123
Osei John Frimpong,114
Frimpong Mavis Ama,114
Prince Law,114
Dominic Kojo Appau,114
Gifty Twum-Ampofo,116
Charles Yeboah Darko,116
Samuel Atta Akyea,115
Sanusi Mohammed,115
Banning-Peprah Felix,115
Marfo Enock Kwame,115
Kofi Ahenkorah Marfo,110
Kwasi Akyem Apea-Kubi,110
Christiana Yeboah,110
Isaac Ofori-Koree,124
Mensah Betty Nana Efua Krosbi,124
Ferguson Asare,124
William Hor,125
Joseph Appiah Boateng,125
Alexander Akwasi Acquah,107
Asante Jones,107
Ansah Lucy,107
Osei Kennedy Nyarko,109
Taaju Abdu Rahim,109
Oheneba Dokua Asiamah-Adjei,99
Justice Kotey Amasah,99
Anakwa Gifty Mercy,99
Desmond Twumasi Ntow,99
Adjei Tsumasi William Kwabena,99
Osei Bonsu Amoah,101
Winston Kwadwo Afari-Djan,101
Ernest Kumi,113
Henry Yiadom Boakye,113
George Kwame Aboagye,108
Ahinakwa Eric,108
Yaw Owusu-Boateng,108
Paul Asare Ansah,93
Thomas Ampem Nyarko,93
Abena Osei-Asare,118
Defia Robert Kwaku,118
Kwasi Amoako-Atta,117
Johnson Anom Amo,117
Antwi Ayim Reynolds,117
Samuel Ayeh-Paye,104
Addi Safori Teddy,104
Isaac Appiah,104
Abrokwa Aboagye Sintim,104
Kwabena Amankwa Asiamah,119
Apaw-Wiredu Haroun,119
Amos Nkansah,119
Kwakye Faustina Yeboaa,119
Okyere Agyekum Kofi,120
Richard Fred Kwashie Junior,120
Gyan Stephen Ayisi,120
Agyare Alexander,112
Emmanuel Kofi Nti,112
Dickson Akwasi Yeboah,112
Charles Acheampong,105
Michael Adu-Sei,105
Baidoo Seth Nicholas Kwame,105
Michael Okyere Baafi,97
Martin Otu Offei,97
Adwoa Petra Penianah,97
Frempong Joseph,121
Oppong Francis,121
Lawrence Agyapong Bediako,121
Osei Yeboah Mark,121
Annoh-Dompreh Frank,102
Philibert Amenorpe Fummey,102
Kojo Oppong Nkrumah,111
Alfred Osei-Poku,111
Daniel Botwe,100
John Evans Ayerakwa-Kumordzi,100
Kwadjo Asante,103
Amanda Okyere Kwatia,103
Joseph Tetteh,95
Bismark Tetteh Nyarko,95
Nicholas Tetteh,95
Frederick Obeng Adom,106
Darko Derek Ohene Assifo Bekoe,106
Appertey Francis Djetse,96
Albert Tetteh Nyakotey,96
